NAME,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12
Hydro_fac AS-RUS-UR,10.2,12.4,25.8,66.9,67.4,64.3,60.4,48,53.6,52,30.1,12.7
Hydro_fac AS-SAU,33.7,33.7,33.7,22.9,10.7,3.6,3.4,3.4,3.4,5.8,22.9,33.7
Hydro_fac AS-SGP,34.2,19.1,21.5,27.3,28.4,23.4,21.5,30.3,52.3,55.3,55.3,55.3
Hydro_fac AS-SYR,44.6,44.6,44.6,44.5,29.1,6.6,4.5,4.5,4.6,13.4,33.7,44.6
Hydro_fac AS-THA,5.2,5.1,6.4,10.3,31.5,42.3,43.9,44.5,46.7,37.8,14.8,9.5
Hydro_fac AS-TJK,9.8,13.1,38.7,80,80,80,76.1,30,17.6,16.4,13.2,13.2
Hydro_fac AS-TKM,44.4,46.2,68.6,80,80,80,71.5,53.5,54.9,76.2,65.8,48.1
Hydro_fac AS-TLS,48.1,44.8,47.4,44.4,30.1,17.3,12,12.9,20.3,29,46.9,55.7
Hydro_fac AS-TUR,42.6,48.1,51.5,49.5,39.1,22,9.9,9,8.8,18.5,38,46.5
Hydro_fac AS-TWN,5.1,12.3,28.6,30.7,30.7,30.7,16.4,30.7,30.3,6.7,6,3.1
Hydro_fac AS-UZB,44.4,46.2,68.6,80,80,80,71.5,53.5,54.9,76.2,65.8,48.1
Hydro_fac AS-VNM,19.4,19,20.8,28.2,52.5,63.1,64.6,65,80,67.3,46,39.1
Hydro_fac AS-YEM,33.7,33.7,33.7,22.9,10.7,3.6,3.4,3.4,3.4,5.8,22.9,33.7
Hydro_fac EU-ALB,56.8,59.3,54.1,41.6,19.7,9.9,6.9,6.4,19.5,37.7,59.3,59.3
Hydro_fac EU-ARM,3.9,6.5,39.3,39.3,39.3,39.3,16.6,12.6,11.8,12.3,11.3,6.2
Hydro_fac EU-AUT,26.6,28.9,40,45.9,48.1,50.8,51.1,44.2,40.4,40.1,41.1,34.5
Hydro_fac EU-AZE,3.8,9.5,38.5,38.5,38.5,38.5,29.5,24.1,22.1,24.2,23.1,9
Hydro_fac EU-BEL,20.9,20.9,20.9,10.9,7.3,6.3,6,3.9,5.7,12.4,18.5,20.9
Hydro_fac EU-BGR,19.4,26.9,26.9,25.7,23.8,12.7,9.2,4.5,4.3,7.7,17.3,20.8
Hydro_fac EU-BIH,39.8,44.5,48.4,47,19.3,11.8,8.2,8.7,22.7,42.3,49,49
Hydro_fac EU-BLR,12.6,21,59.9,67.3,61.9,55.8,55.3,47.9,54.1,63.7,61.5,21.3
Hydro_fac EU-CHE,20.5,21.4,29.2,40.3,45.3,44.9,41.6,31.7,37.3,45.4,37.2,29.8
Hydro_fac EU-CYP,42.6,48.1,51.5,49.5,39.1,22,9.9,9,8.8,18.5,38,46.5
Hydro_fac EU-CZE,17.9,18.3,18.5,16.9,10.3,12.1,14.4,10.8,9.6,10,14.8,18.5
Hydro_fac EU-DEU,36.5,36.9,38.2,26.8,22.5,24.8,25,20.7,20.2,26.6,37.6,38.2
Hydro_fac EU-DNK,36.5,36.9,38.2,26.8,22.5,24.8,25,20.7,20.2,26.6,37.6,38.2
Hydro_fac EU-ESP,33.1,33.1,22.7,26.2,20.3,11.8,5.3,4.6,8.5,21.7,32.9,33.3
Hydro_fac EU-EST,18.4,18.9,25.3,25.3,16.3,18.1,18.9,16.5,22.8,25.3,25.3,21.2
Hydro_fac EU-FIN,44.8,48.4,42,38.4,62.2,55.8,53.9,48.4,44.8,58.5,56.7,48.4
Hydro_fac EU-FRA,38.2,38.4,34.7,34.9,28.3,19,10.4,8,17.6,34,40.8,41
Hydro_fac EU-GBR,34.5,33.7,32.2,15.1,8.4,6,5.5,8,17.2,30.7,34.5,34.5
Hydro_fac EU-GEO,8.9,9.4,30.7,50.1,50.1,50.1,37.8,30.6,30.2,40.4,29.3,12.9
Hydro_fac EU-GRC,30.5,31.9,28.3,17.5,9.7,5.6,4.1,3.3,3.9,15.5,30.3,31.9
Hydro_fac EU-HRV,43.8,46,48.3,43.1,30.1,21.2,14.7,14.2,32.3,49,52.9,49.1
Hydro_fac EU-HUN,16.3,20.2,24.9,24.9,24.3,24.9,23.6,20.1,21.1,22,22.9,19.6
Hydro_fac EU-IRL,38.8,38.8,29.6,15.2,9,7.1,4.6,7.6,10.4,28.6,38.8,38.8
Hydro_fac EU-ISL,45.2,45.9,58.5,74.2,75.5,65.3,58,54.5,61.5,71.7,68.7,49.4
Hydro_fac EU-ITA,17.2,19.4,21.8,26.1,34.7,32.7,26.7,19.3,26.6,39.4,28.6,21.5
Hydro_fac EU-LTU,13.9,13.8,15,15,9.2,10.4,12,8.2,9.6,12.3,15,15
Hydro_fac EU-LUX,16.5,16.5,16.5,8.4,4.8,4.5,4.2,2,4.3,12.4,16,16.5
Hydro_fac EU-LVA,18.4,18.9,25.3,25.3,16.3,18.1,18.9,16.5,22.8,25.3,25.3,21.2
Hydro_fac EU-MDA,42.6,59.2,80,80,72.1,80,80,52.4,60.2,49.7,53.8,58.9
Hydro_fac EU-MKD,37.9,45.4,45.4,36.4,21.3,12.6,7.4,5.6,11.9,22.9,44.8,45.4
Hydro_fac EU-MLT,17.2,19.4,21.8,26.1,34.7,32.7,26.7,19.3,26.6,39.4,28.6,21.5
Hydro_fac EU-MNE,70.7,77.1,76.3,71.2,27.2,12.7,8.3,11.3,40,78,80,80
Hydro_fac EU-NLD,36.5,36.9,38.2,26.8,22.5,24.8,25,20.7,20.2,26.6,37.6,38.2
Hydro_fac EU-NOR,63.1,58.6,52.2,49.2,45.4,42.5,42.1,44.9,44.2,49.4,49.7,59.2
Hydro_fac EU-POL,18.2,19.7,21.1,18.9,11.8,13.6,15.7,11.8,12.3,13.5,17,19.9
Hydro_fac EU-PRT,42.9,42.9,25.6,27.4,19.6,9.8,5.4,4.3,7.5,26.6,42.3,42.9
Hydro_fac EU-ROU,14.8,21.6,37.8,37.8,36.6,37,32.7,23.1,22.8,24.1,22.9,22
Hydro_fac EU-SRB,44.9,53.4,54.8,54.8,39.3,32,27,21.1,31.9,45.7,54.8,54.8
Hydro_fac EU-SVK,16.3,20.2,24.9,24.9,24.3,24.9,23.6,20.1,21.1,22,22.9,19.6
Hydro_fac EU-SVN,16.6,20.1,37.9,57.4,57.4,57.4,51.8,40.6,46.8,57.4,49.5,26.4
Hydro_fac EU-SWE,54.7,59.5,50.8,48.8,46.4,43.1,38,39.1,35,48.4,47.6,54.7
Hydro_fac EU-UKR,21.2,26.6,29.7,29.7,22,27,29.7,17.9,21.6,19.7,26.9,27.7
Hydro_fac NA-BLZ,14.3,10.4,8,7.6,12.5,61.2,65.1,64.7,65.1,45.3,15.6,16
Hydro_fac NA-CAN-AB,34.8,37,45.9,73.5,79.9,80,80,74.2,65.1,52.5,38.2,34.8
Hydro_fac NA-CAN-AR,64.8,57.4,72.7,80,76.2,55.1,51.8,51.3,54.6,66.2,80,72.4
Hydro_fac NA-CAN-BC,65.8,65.5,66.3,68.6,64.1,59,52,44.5,45.6,65.5,70.6,66.1
Hydro_fac NA-CAN-MB,22.5,26.3,45.3,80,80,80,77.8,69,73,67.4,37.8,23.5
Hydro_fac NA-CAN-NL,56.6,55.4,58.2,74.9,80,80,61.3,59.6,65.3,78.2,75.5,62.8
Hydro_fac NA-CAN-NO,45.2,45.9,58.5,74.2,75.5,65.3,58,54.5,61.5,71.7,68.7,49.4
Hydro_fac NA-CAN-ON,37.7,41.2,62.8,79.8,77.8,62.3,55.5,55,64.8,74.5,76.3,44.2
Hydro_fac NA-CAN-QC,31.9,32.9,46.9,70.4,80,69.7,60.7,57.2,71,78.6,63.6,36.6
Hydro_fac NA-CAN-SK,32.8,35.2,48.5,77.5,78.1,73.7,70.6,57.8,60.3,53.8,44.5,34.8
Hydro_fac NA-CRI,23.4,15.7,14.3,16.3,48.7,79.6,80,80,80,80,61.2,38.4
Hydro_fac NA-CUB,14.7,8.9,7.3,22.4,59,19.1,8.5,30,59,59,59,28.7
Hydro_fac NA-DOM,14.7,8.9,7.3,22.4,59,19.1,8.5,30,59,59,59,28.7
Hydro_fac NA-GTM,20.8,19.1,17.4,18.2,37.2,80,80,77.5,80,79.9,41.3,28.5
Hydro_fac NA-HND,24.1,20.4,18.6,18.8,41.1,80,73.8,80,80,77.7,43.7,32.4
Hydro_fac NA-HTI,50.5,49.4,49.4,50.4,62.1,80,65.3,73.8,80,80,80,67.6
Hydro_fac NA-JAM,50.5,49.4,49.4,50.4,62.1,80,65.3,73.8,80,80,80,67.6
Hydro_fac NA-MEX,14.3,10.4,8,7.6,12.5,61.2,65.1,64.7,65.1,45.3,15.6,16
Hydro_fac NA-NIC,13.2,8.2,6.9,7.3,30.1,69.5,63.6,69.5,69.5,69.5,30.3,13.9
Hydro_fac NA-PAN,12.8,8.4,7.5,10.9,45.5,74.8,64.9,72.5,74.9,74.9,72.5,53.8
Hydro_fac NA-SLV,9.6,9.2,9.1,10.7,32.8,80,80,80,80,70.8,19.1,11
Hydro_fac NA-TTO,14.7,8.9,7.3,22.4,59,19.1,8.5,30,59,59,59,28.7
Hydro_fac NA-USA-AK,27.4,27.2,37.8,55.4,64,58.9,43,41.2,57,62.1,48.5,34.2
Hydro_fac NA-USA-AZ,44.2,45.5,48.9,22.6,17.2,12,39.5,44.5,31.7,27.5,23.4,44.2
Hydro_fac NA-USA-CA,52.3,52.6,52.4,25.9,16.6,10.4,6.1,5.5,6.5,9,27.7,49.5
Hydro_fac NA-USA-ER,27.3,35.1,23.7,34,50,52.5,23.5,25.6,31.8,51.3,43.5,45.3
Hydro_fac NA-USA-FR,52.6,52.6,52.6,43.6,33.3,42.6,48.8,43.8,49.8,30.8,34.4,43.4
Hydro_fac NA-USA-GU,5.1,12.3,28.6,30.7,30.7,30.7,16.4,30.7,30.3,6.7,6,3.1
Hydro_fac NA-USA-HA,52.6,52.6,52.6,14.9,8.2,5.6,5.3,5.3,5.4,8.4,44.5,52.6
Hydro_fac NA-USA-ME,5.3,9.2,48.7,52.6,52.6,48.8,35,39.6,50.4,45.4,48.3,10.7
Hydro_fac NA-USA-MW,6.7,15.8,49.3,52.6,52.3,47.7,42.5,38,40.6,40,33.4,9.1
Hydro_fac NA-USA-NE,27,29.1,47.5,52.6,47.2,31.6,22.8,23.5,26,43,52.4,34.6
Hydro_fac NA-USA-NW,40.6,44.5,50.3,45.7,38.3,29.5,14.9,11.9,12,14.8,30.2,35.6
Hydro_fac NA-USA-NY,24.3,27,51.2,52.6,49.5,26.5,19.2,23,31.6,41.1,52.5,35
Hydro_fac NA-USA-PR,15.9,9.9,7,20.3,52.6,16.9,8.4,26.9,52.6,52.6,52.6,30.4
Hydro_fac NA-USA-RA,9.7,14.6,34.2,49.8,52.6,48,50.9,44.7,28.4,25.6,20.8,10.4
Hydro_fac NA-USA-RE,44.6,46.5,52.6,47.6,36.5,29.8,20.7,20,31.2,28.7,47.1,52.6
Hydro_fac NA-USA-RM,25.5,25.4,52.6,52.6,49.2,30.1,20.7,27.3,34.2,35.7,52.1,40.5
Hydro_fac NA-USA-RW,34.7,37.9,50.2,47.6,42.2,36,27.7,25,33,33.8,45,39.8
Hydro_fac NA-USA-SA,50.9,52,49.7,45.1,42,30.2,13.3,9.5,23.8,32,52.6,52.6
Hydro_fac NA-USA-SC,52.4,52.6,52.6,33.7,29.5,23.1,17.4,12,17.2,15.5,37,52.6
Hydro_fac NA-USA-SE,52.6,52.6,52.6,38,23.7,19.8,22.2,17.3,22.8,20.4,34.5,52.6
Hydro_fac NA-USA-SN,30.6,44.1,50.6,51.3,51,47.1,27.1,21.6,39.7,37.5,50.8,40.4
Hydro_fac NA-USA-SS,34.9,39.7,52,44.8,51.9,44.1,15.9,11.7,43.7,45.9,52.6,48.7
Hydro_fac NA-USA-SV,52.6,52.6,52.3,33.6,27.4,27.7,24.8,28,35.1,34.9,36.5,52.2
Hydro_fac NA-USA-SW,26.7,42.8,52.6,52.6,52,37.5,29.3,22.8,35.7,32.4,50,36
Hydro_fac OC-AUS-NT,30.4,30.4,30.4,30.4,14.9,8.9,5,5.1,4,3,6.9,15.4
Hydro_fac OC-AUS-QL,30.4,30.4,30.4,30.4,21.9,10.6,9.5,4.1,4.1,6.7,12.3,20
Hydro_fac OC-AUS-SA,5.5,4.9,4.3,13.3,25.2,30.4,30.4,30.4,30.4,24.6,12.1,10.2
Hydro_fac OC-AUS-SW,17.9,17.8,16.1,18,22.8,26.3,27.8,26.6,24.3,25.5,18.1,13.8
Hydro_fac OC-AUS-TA,6.5,4.8,5.8,16.5,27.3,30,30.4,30.4,30.4,25.8,14.1,11.4
Hydro_fac OC-AUS-VI,6.2,5.5,3.7,8.8,21.9,30.3,30.4,30.4,30.4,26.6,11.9,9.4
Hydro_fac OC-AUS-WA,30.4,30.4,30.4,30.4,14.9,8.9,5,5.1,4,3,6.9,15.4
Hydro_fac OC-NZL,35.8,24.8,37.5,44.3,58,61.1,57.3,62.7,62.7,54.6,39.4,41.5
Hydro_fac OC-PNG,55.9,55.9,55.9,55.9,51.7,29.4,14,13.2,19.2,24,33.7,44.9
Hydro_fac SA-ARG,51.3,47.2,43,26.9,30.1,31.5,31.3,24.7,27.2,29,43.7,54.9
Hydro_fac SA-BOL,80,80,80,52.2,38.6,36.2,36.3,36.2,36.1,40.3,49.6,80
Hydro_fac SA-BRA-CN,80,80,80,47.1,24.3,19.7,19.2,19.4,20.7,33.8,64.1,79.9
Hydro_fac SA-BRA-CW,80,80,80,46.1,25.3,20.4,19.2,19.5,22.7,34.7,63.1,80
Hydro_fac SA-BRA-NE,78.7,80,78.3,41.2,24.5,21.3,19.8,19.3,20.2,30.8,73.5,78.3
Hydro_fac SA-BRA-NW,58.8,80,80,80,80,56.1,34.2,22.8,19.8,19.3,22.1,30.4
Hydro_fac SA-BRA-SE,80,80,78.9,43.9,31.4,27.8,23.7,21.9,30.9,37.2,59.5,80
Hydro_fac SA-BRA-SO,71.9,74.8,62.4,64.3,75.8,78.2,77.7,73.4,78.5,78.9,68.3,66.5
Hydro_fac SA-BRA-WE,75.8,80,80,53.3,33.5,24.8,20.9,19.8,22.7,31.8,55.7,73.2
Hydro_fac SA-CHL,30.3,27.8,26.5,35,76.8,76.6,77.1,76.6,55.9,38.7,38.7,37.1
Hydro_fac SA-COL,11.5,17.1,22.8,61.1,71.6,68.8,61.2,67.4,69.3,70.7,55.3,27.2
Hydro_fac SA-ECU,45.2,59.8,65.3,65.3,65.3,54,42.1,25.3,26.2,60.3,65.3,55.5
Hydro_fac SA-GUY,69.4,58.6,55.4,69.4,69.4,69.4,31.1,15.4,7.9,6.9,16.7,49.9
Hydro_fac SA-PER,71.9,77.8,80,71,66.5,61.2,56.4,49.6,49.9,65.1,70.1,76
Hydro_fac SA-PRY,77.2,73.3,73.6,71.5,70.8,68.2,62.7,64.9,69.9,73.3,76.4,78.7
Hydro_fac SA-SUR,69.4,58.6,55.4,69.4,69.4,69.4,31.1,15.4,7.9,6.9,16.7,49.9
Hydro_fac SA-URY,48.8,60,37.9,61.9,62.1,61.7,62.1,46.4,50.8,49,46.7,36.5
Hydro_fac SA-VEN,40.6,38.5,39.1,58.3,75.7,80,80,80,74.8,69.6,69.4,53.1
